size,currency,description,price,category,name,scanning_time,available,region,color,sku
,USD,"Composition: 
								95% Cotton, 5% Elastane Print Logo Jersey Round collar Rhinestones Short sleeves",58.00,FALL WINTER 2016/WOMAN/APPAREL/Outerwear/Trousers/T-shirts/Sweatshirts/Sweatsuits/ACCESSORIES/Accessories/Shoes/GIRLS/SKI & SNOWBOARD/SALE/MAN/RUNNING & FITNESS/SKI & SNOWBOARD,JERSEY T-SHIRT,2016-12-18 18:53:54,,UNITED STATES,,6XTT78TJ12Z12001200
,USD,"Composition: 
								100% Bovine, Polyester, Polyurethane Logo Zip closure Rubber sole Round toeline",208.00,FALL WINTER 2016/WOMAN/APPAREL/Outerwear/Trousers/T-shirts/Sweatshirts/Sweatsuits/ACCESSORIES/Accessories/Shoes/GIRLS/SKI & SNOWBOARD/SALE/MAN/RUNNING & FITNESS/SKI & SNOWBOARD,PRINTED WEDGE TRAINER,2016-12-18 18:53:55,,UNITED STATES,,2880356A2990012000120
,USD,"Composition: 
								100% Calf-skin leather Printed leather Solid color Internal card slots Zip closure",495.00,FALL WINTER 2016/WOMAN/VIEW ALL/Suits and jackets/Knitwear/Trousers and skirts/Outerwear/T-shirts and blouses/Dresses/NEW NORMAL/COLLECTION/RUNWAY/BAGS/SHOES/ACCESSORIES/Leather goods/Scarves and hats/Sunglasses/SALE/MAN,MEDIUM ZIP AROUND WALLET IN PRINTED CALFSKIN,2016-12-18 18:53:55,,UNITED STATES,,Y1H077YB30A180001
,USD,"Composition: 
								100% Bovine Logo",375.00,GA CRUISE 2017/WOMAN/VIEW ALL/Suits and jackets/Knitwear/Trousers and skirts/T-shirts and blouses/BAGS/SHOES/ACCESSORIES/Leather goods/Scarves and hats/MAN,"CROC PRINT VELVET SHOULDER STRAP
",2016-12-18 18:53:55,,UNITED STATES,,
,USD,"Composition: 
								100% Bovine Logo",395.00,GA CRUISE 2017/WOMAN/VIEW ALL/Suits and jackets/Knitwear/Trousers and skirts/T-shirts and blouses/BAGS/SHOES/ACCESSORIES/Leather goods/Scarves and hats/MAN,"LAGOON PRINT SHOULDER STRAP
",2016-12-18 18:53:55,,UNITED STATES,,
,USD,"Composition: 
								82% Viscose, 18% Silk Logo Velvet","1,295.00",FALL WINTER 2016/WOMAN/VIEW ALL/Suits and jackets/Knitwear/Trousers and skirts/Outerwear/T-shirts and blouses/Dresses/NEW NORMAL/COLLECTION/RUNWAY/BAGS/SHOES/ACCESSORIES/Leather goods/Scarves and hats/Sunglasses/SALE/MAN,WRAP IN VELVET AND SILK,2016-12-18 18:53:55,,UNITED STATES,,7952046A1270802008020
,USD,"Composition: 
								94% Silk, 6% Elastan Long sleeves Round collar Satin Pleated detailing Rear button closure",387.00,FALL WINTER 2016/WOMAN/APPAREL/Coats/Jackets/Skirts/Knitwear/Trousers/Tops and blouses/T-shirts and sweatshirts/Dresses/ACCESSORIES/Scarves and hats/SALE/MAN,BLOUSE IN STRETCH SATIN,2016-12-18 18:53:56,,UNITED STATES,,UMC24TUM301612612
,USD,"Composition: 
								100% Silk Twill Logo",625.00,FALL WINTER 2016/WOMAN/VIEW ALL/Suits and jackets/Knitwear/Trousers and skirts/Outerwear/T-shirts and blouses/Dresses/NEW NORMAL/COLLECTION/RUNWAY/BAGS/SHOES/ACCESSORIES/Leather goods/Scarves and hats/Sunglasses/SALE/MAN,SILK SCARF,2016-12-18 18:53:56,,UNITED STATES,,7953046A1371842018420
,USD,"Composition: 
								55% Cotton, 35% Polyamide, 10% Elastan Crêpe Solid color Mid Rise Zip Four pockets Side slit hemline",315.00,FALL WINTER 2016/WOMAN/APPAREL/Coats/Jackets/Skirts/Knitwear/Trousers/Tops and blouses/T-shirts and sweatshirts/Dresses/ACCESSORIES/Scarves and hats/SALE/MAN,TROUSERS IN GABARDINE,2016-12-18 18:53:56,,UNITED STATES,,UMP17TUM004913913
,EUR,"Composition : 
								100% Laine vierge Maille légère Couleur unie de base","290,00",AUTOMNE HIVER 2016/FEMME/HOMME/GUIDE DE STYLE/LE COSTUME/LA VESTE/HABILLEMENT/Costumes/Chemises/Manteaux/Blousons/Vestes/Maille/Pantalons/Pantalon 5 poches/Cuirs/T-shirts et Sweats/ACCESSOIRES/Cravates/Foulards et écharpes,ÉCHARPE EN LAINE VIERGE,2016-12-18 18:53:56,,FRANCE,,6452966A9040017300173
,EUR,"Composition : 
								98% Coton, 2% élasthanne Coton denim Logo Uni Fermeture avec fermeture éclair et boutons Cinq poches","290,00",AUTOMNE HIVER 2016/FEMME/HOMME/GUIDE DE STYLE/LE COSTUME/LA VESTE/HABILLEMENT/Costumes/Chemises/Manteaux/Blousons/Vestes/Maille/Pantalons/Pantalon 5 poches/Cuirs/T-shirts et Sweats/ACCESSOIRES/Cravates/Foulards et écharpes,"JEAN COUPE SLIM, LAVAGE FONCÉ",2016-12-18 18:53:56,,FRANCE,,6XCJ06CD13Z09060906
,EUR,"Composition : 
								98% Coton, 2% élasthanne Coton denim Logo Couleur unie de base Taille normale Fermeture avec fermeture éclair et boutons Cinq poches","240,00",AUTOMNE HIVER 2016/FEMME/HOMME/GUIDE DE STYLE/LE COSTUME/LA VESTE/HABILLEMENT/Costumes/Chemises/Manteaux/Blousons/Vestes/Maille/Pantalons/Pantalon 5 poches/Cuirs/T-shirts et Sweats/ACCESSOIRES/Cravates/Foulards et écharpes,"PANTALON CINQ POCHES COUPE CLASSIQUE, LAVAGE FONCÉ",2016-12-18 18:53:56,,FRANCE,,6XCJ15CN02Z05900590
